empresa,Nome,cpf_cnpj,data_compra,veiculo_porte,tipo_veiculo,medida_pneu,Remolde,Qnt_vendas,Vr_unitario,Vr_Total
Sim,Cavalcante,65.098.174/0001-84,19/09/2022,medio,carro,175/65.13,Sim,1,167.96,167.96
Sim,Cavalcante,65.098.174/0001-84,02/01/2025,grande,caminhão,225/70.16,Sim,2,153.59,307.18
Sim,Porto Ltda.,31.502.897/0001-85,13/06/2022,grande,caminhão,225/45.15,Sim,2,184.21,368.42
Sim,Nascimento,04.163.295/0001-78,08/03/2024,grande,caminhão,225/65.17,Não,3,233.1,699.3
Não,Ravi Lucca Freitas,281.357.604-26,21/05/2024,grande,caminhão,225/45.15,Sim,2,156.09,312.18
Sim,Aparecida,73.916.485/0001-31,18/04/2023,grande,caminhão,215/70.16,Não,3,220.55,661.65
Sim,Porto Ltda.,31.502.897/0001-85,22/01/2024,medio,carro,165/65.13,Não,6,212.31,1273.86
Não,Maria Fernanda Sá,953.102.847-88,15/09/2023,medio,carro,185/75.16,Não,6,237.01,1422.06
Não,Valentina Sá,218.743.690-03,19/02/2023,medio,carro,175/65.15,Sim,5,153.87,769.35
Não,Isaac Caldeira,875.243.619-55,17/08/2024,grande,caminhão,225/55.15,Sim,2,172.95,345.9
Sim,Porto Ltda.,31.502.897/0001-85,18/12/2024,medio,carro,195/65.16,Não,3,246.89,740.67
Não,Srta. Isadora Moraes,825.017.493-32,20/04/2025,grande,caminhão,215/65.15,Sim,1,179.15,179.15
Sim,Porto Ltda.,31.502.897/0001-85,28/12/2022,medio,carro,185/65.14,Sim,6,156.69,940.14
Não,Bernardo Lima,780.312.465-80,06/09/2024,medio,carro,175/65.16,Sim,4,156.23,624.92
Não,Dr. Ravi Albuquerque,765.093.428-47,11/10/2022,grande,caminhão,205/45.16,Não,4,215.93,863.72
Não,Isabel Andrade,598.614.327-28,30/12/2022,grande,caminhão,225/45.16,Não,4,200.72,802.88
Sim,Moreira,98.503.472/0001-61,27/05/2024,grande,caminhão,215/55.17,Não,6,238.43,1430.58
Não,Luana Rocha,376.502.194-61,28/08/2022,medio,carro,165/65.14,Não,2,240.78,481.56
Não,Mariah Guerra,301.476.825-17,21/07/2024,grande,caminhão,225/45.16,Sim,3,188.18,564.54
Não,Miguel Barbosa,132.796.845-28,09/07/2023,grande,caminhão,225/45.16,Sim,1,154.72,154.72
Sim,Porto Ltda.,31.502.897/0001-85,04/04/2025,medio,carro,195/75.16,Não,1,239.93,239.93
Sim,Moreira,98.503.472/0001-61,01/10/2022,medio,carro,185/75.16,Sim,4,152.93,611.72
Não,Melissa Siqueira,418.275.039-04,02/10/2023,medio,carro,175/75.13,Sim,3,157.0,471.0
Sim,Sampaio,85.960.143/0001-06,14/10/2023,grande,caminhão,225/65.17,Não,4,235.73,942.92
Não,Dr. Benício Farias,069.724.315-06,04/04/2024,medio,carro,165/75.16,Não,6,216.62,1299.72
Não,Dr. Dom Dias,107.342.869-96,04/04/2024,medio,carro,185/65.13,Sim,4,165.67,662.68
Não,Sra. Hellena das Neves,530.481.697-84,05/03/2025,medio,carro,175/75.15,Não,2,215.99,431.98
Não,Laís Barros,237.896.415-37,24/05/2024,grande,caminhão,205/70.15,Não,2,210.4,420.8
Sim,Almeida,59.608.342/0001-31,15/01/2025,medio,carro,185/65.14,Não,4,239.44,957.76
Não,Oliver Vieira,156.478.902-02,21/12/2023,grande,caminhão,215/60.16,Não,1,232.57,232.57
Não,Srta. Maria Isis Novaes,943.621.857-55,19/08/2022,medio,carro,185/75.14,Sim,1,156.44,156.44
Não,Daniela Castro,728.954.103-05,21/10/2023,grande,caminhão,225/70.16,Sim,3,157.0,471.0
Sim,Cavalcante,65.098.174/0001-84,17/04/2024,medio,carro,195/65.15,Não,6,231.63,1389.78
Sim,Dias e Filhos,32.097.465/0001-07,13/04/2024,grande,caminhão,225/70.15,Sim,3,166.64,499.92
Sim,Almeida,59.608.342/0001-31,12/01/2023,grande,caminhão,225/55.17,Sim,3,157.65,472.95
Sim,Costela,97.430.286/0001-87,06/01/2023,medio,carro,195/65.14,Sim,3,174.91,524.73
Sim,Moreira,98.503.472/0001-61,23/03/2024,medio,carro,165/65.13,Não,2,204.18,408.36
Não,Sr. Carlos Eduardo da Cruz,437.015.286-08,26/07/2022,grande,caminhão,205/45.17,Sim,5,176.28,881.4
Sim,Cavalcante,65.098.174/0001-84,02/02/2023,medio,carro,175/75.14,Não,2,229.1,458.2
Não,Bella Leão,276.104.593-99,11/02/2025,medio,carro,195/75.16,Não,6,230.05,1380.3
Sim,Lopes,71.095.846/0001-09,26/02/2023,medio,carro,185/75.14,Sim,2,171.18,342.36
Sim,Almeida,59.608.342/0001-31,13/05/2023,medio,carro,165/75.14,Sim,4,178.76,715.04
Não,Eduarda Nunes,725.930.618-12,15/11/2022,medio,carro,175/75.13,Não,3,228.08,684.24
Não,Theo Souza,347.816.502-44,19/10/2022,medio,carro,175/65.14,Sim,6,178.47,1070.82
Sim,Cavalcante,65.098.174/0001-84,08/05/2023,grande,caminhão,215/45.15,Não,3,225.24,675.72
Não,Marina Silva,207.563.198-03,05/06/2025,grande,caminhão,205/65.17,Sim,2,160.6,321.2
Sim,Almeida,59.608.342/0001-31,04/09/2022,grande,caminhão,215/45.17,Não,4,249.54,998.16
Não,Ayla Jesus,498.215.706-58,25/12/2023,medio,carro,175/75.15,Não,5,226.35,1131.75
Sim,Nascimento,04.163.295/0001-78,16/05/2025,grande,caminhão,215/65.16,Não,2,208.92,417.84
Sim,Moreira,98.503.472/0001-61,27/08/2022,medio,carro,195/65.14,Não,3,218.88,656.64
Não,João Farias,751.342.096-34,28/10/2022,grande,caminhão,215/70.17,Não,6,232.62,1395.72
Sim,Almeida,59.608.342/0001-31,17/11/2024,medio,carro,175/65.15,Não,6,230.58,1383.48
Sim,Almeida,59.608.342/0001-31,21/08/2024,grande,caminhão,215/45.15,Sim,3,155.33,465.99
Não,Sra. Juliana Oliveira,417.325.068-17,09/01/2024,medio,carro,195/65.14,Sim,5,155.01,775.05
Não,Felipe Rezende,105.237.486-71,20/06/2024,grande,caminhão,225/65.15,Não,5,220.97,1104.85
Não,Dr. Enrico da Luz,372.654.189-64,03/06/2025,medio,carro,165/65.16,Não,1,245.43,245.43
Sim,Cavalcante,65.098.174/0001-84,17/07/2023,grande,caminhão,215/70.17,Não,5,202.01,1010.05
Sim,Dias e Filhos,32.097.465/0001-07,30/01/2025,grande,caminhão,215/55.15,Não,1,245.48,245.48
Não,Heloísa Cassiano,689.570.134-66,01/05/2025,medio,carro,175/65.13,Sim,1,170.42,170.42
Não,Antônio da Luz,579.803.216-77,04/11/2022,grande,caminhão,215/55.16,Não,6,232.44,1394.64
Sim,Lopes,71.095.846/0001-09,03/04/2023,medio,carro,175/75.15,Não,3,206.85,620.55
Não,Olívia Araújo,728.146.593-91,03/08/2023,grande,caminhão,205/55.15,Sim,3,175.35,526.05
Não,Liz Borges,645.910.723-80,02/03/2025,medio,carro,195/65.13,Não,5,237.89,1189.45
Sim,Aparecida,73.916.485/0001-31,12/12/2022,grande,caminhão,225/60.17,Sim,2,175.41,350.82
Não,Ravi Vargas,647.853.092-29,23/09/2023,grande,caminhão,205/65.17,Não,2,229.44,458.88
Não,Antônio Sales,187.045.263-17,27/04/2025,grande,caminhão,225/60.17,Não,3,225.47,676.41
Não,Dr. Gael Henrique Moreira,187.453.260-53,22/04/2024,medio,carro,195/75.13,Sim,2,175.59,351.18
Sim,Moreira,98.503.472/0001-61,02/12/2024,grande,caminhão,225/65.17,Sim,2,163.14,326.28
Sim,Lopes,71.095.846/0001-09,19/07/2022,medio,carro,175/75.14,Não,2,245.93,491.86
Não,Sr. Josué Cassiano,834.296.175-37,03/09/2022,grande,caminhão,225/55.15,Sim,6,188.82,1132.92
Sim,Dias e Filhos,32.097.465/0001-07,23/07/2023,medio,carro,165/75.15,Não,2,233.6,467.2
Não,Maria Júlia Silveira,351.490.678-57,05/10/2024,medio,carro,185/75.14,Não,2,216.36,432.72
Não,Luana Costa,512.987.306-86,17/03/2024,medio,carro,175/75.15,Não,6,205.49,1232.94
Não,Valentina Azevedo,479.532.801-32,18/05/2024,medio,carro,165/75.13,Sim,6,188.07,1128.42
Sim,Moreira,98.503.472/0001-61,16/11/2022,medio,carro,185/65.14,Sim,4,150.92,603.68
Sim,Porto Ltda.,31.502.897/0001-85,30/09/2023,medio,carro,195/75.14,Sim,6,188.14,1128.84
Não,Ian Cavalcante,056.831.479-48,22/01/2025,medio,carro,165/75.13,Não,1,233.01,233.01
Não,Benício Sousa,243.718.650-62,09/05/2025,medio,carro,175/75.14,Sim,2,158.92,317.84
Sim,Sampaio,85.960.143/0001-06,21/03/2024,grande,caminhão,225/60.15,Sim,2,150.17,300.34
Não,Maria Júlia Gonçalves,932.108.765-68,17/02/2024,grande,caminhão,215/45.15,Não,1,240.18,240.18
Não,Luiz Henrique Nascimento,184.539.607-39,12/08/2024,medio,carro,195/65.15,Não,4,243.01,972.04
Sim,Porto Ltda.,31.502.897/0001-85,11/03/2024,grande,caminhão,215/45.15,Sim,1,154.03,154.03
Não,Benjamin Guerra,026.583.941-60,18/08/2022,grande,caminhão,205/70.17,Sim,5,179.0,895.0
Sim,Moreira,98.503.472/0001-61,03/08/2024,medio,carro,175/65.15,Não,1,246.61,246.61
Não,Alícia Andrade,125.798.604-01,26/08/2022,medio,carro,165/75.13,Não,4,233.29,933.16
Não,Isabela Camargo,375.418.926-37,17/09/2023,grande,caminhão,205/55.16,Sim,5,186.53,932.65
Não,Cecilia da Cruz,715.690.834-01,10/02/2023,grande,caminhão,215/70.16,Sim,2,181.11,362.22
Não,José Miguel Freitas,214.679.035-07,12/03/2025,grande,caminhão,205/45.16,Sim,4,165.8,663.2
Não,Léo Farias,134.062.579-25,09/03/2025,grande,caminhão,215/70.17,Não,6,243.89,1463.34
Sim,Porto Ltda.,31.502.897/0001-85,08/01/2025,medio,carro,195/65.14,Não,4,206.94,827.76
Não,Maria Júlia Costa,386.905.472-74,05/01/2024,medio,carro,185/65.14,Sim,1,174.49,174.49
Não,Liz da Luz,803.251.469-42,19/08/2022,grande,caminhão,205/60.17,Não,3,203.95,611.85
Sim,Porto Ltda.,31.502.897/0001-85,04/04/2025,grande,caminhão,215/65.17,Sim,3,184.53,553.59
Sim,Costela,97.430.286/0001-87,13/10/2023,grande,caminhão,225/70.15,Não,1,210.5,210.5
Sim,Porto Ltda.,31.502.897/0001-85,14/01/2025,grande,caminhão,205/60.15,Não,1,220.19,220.19
Sim,Cavalcante,65.098.174/0001-84,07/04/2023,grande,caminhão,205/45.16,Sim,6,158.88,953.28
Não,Cecilia Viana,814.356.207-71,31/05/2025,medio,carro,185/75.15,Sim,6,185.78,1114.68
Não,Gael Henrique Vasconcelos,984.756.213-09,11/02/2023,medio,carro,165/65.15,Não,2,243.76,487.52
Não,Sra. Luana Duarte,751.039.846-01,19/01/2024,medio,carro,175/75.14,Sim,5,155.91,779.55
Sim,Dias e Filhos,32.097.465/0001-07,07/03/2025,medio,carro,165/65.14,Não,4,233.44,933.76
Não,Rhavi Lima,480.597.326-92,10/11/2022,medio,carro,195/75.13,Sim,6,189.12,1134.72
Não,Sr. Levi Rodrigues,714.860.925-94,02/10/2023,medio,carro,195/75.13,Sim,2,158.0,316.0
Não,Henry Gabriel da Rocha,130.482.567-17,30/10/2023,medio,carro,195/65.16,Sim,3,174.4,523.2
Não,Levi Cirino,837.015.429-88,17/04/2023,grande,caminhão,205/45.15,Não,6,216.27,1297.62
Sim,Lopes,71.095.846/0001-09,27/08/2023,grande,caminhão,225/45.15,Não,4,247.81,991.24
Não,Srta. Maysa Lopes,367.810.294-87,15/12/2022,medio,carro,195/75.14,Sim,4,154.82,619.28
Não,Luiz Otávio da Rocha,498.601.352-15,19/12/2024,grande,caminhão,205/55.15,Sim,2,171.01,342.02
Sim,Dias e Filhos,32.097.465/0001-07,14/11/2022,grande,caminhão,215/60.17,Sim,5,154.12,770.6
Não,Diogo Cavalcanti,613.978.025-02,01/05/2025,grande,caminhão,215/45.15,Não,6,219.6,1317.6
Não,Otto Mendonça,890.761.342-78,22/09/2022,grande,caminhão,215/65.16,Sim,6,181.05,1086.3
Sim,Cavalcante,65.098.174/0001-84,23/12/2024,medio,carro,185/65.13,Sim,4,189.65,758.6
Sim,Lopes,71.095.846/0001-09,17/05/2025,grande,caminhão,225/60.17,Não,5,208.11,1040.55
Sim,Porto Ltda.,31.502.897/0001-85,04/04/2024,grande,caminhão,225/45.16,Não,3,219.46,658.38
Sim,Porto Ltda.,31.502.897/0001-85,29/01/2023,medio,carro,185/65.15,Sim,5,158.7,793.5
Não,Allana Guerra,650.418.937-48,26/12/2024,medio,carro,175/75.15,Não,5,220.77,1103.85
Sim,Porto Ltda.,31.502.897/0001-85,20/05/2023,medio,carro,175/75.16,Sim,1,156.76,156.76
Não,Sra. Ana Vitória Costela,789.521.034-32,22/07/2023,grande,caminhão,225/65.15,Não,3,225.98,677.94
Sim,Lopes,71.095.846/0001-09,10/08/2024,grande,caminhão,205/60.17,Não,3,216.17,648.51
Não,Mateus Campos,347.590.618-00,23/02/2024,medio,carro,165/65.15,Não,2,225.62,451.24
Não,Vitória Souza,965.071.482-02,17/01/2023,medio,carro,195/75.14,Não,6,224.66,1347.96
Não,Joana Lopes,469.851.037-66,09/06/2024,grande,caminhão,225/60.16,Não,1,229.32,229.32
Sim,Cavalcante,65.098.174/0001-84,26/06/2022,medio,carro,185/75.13,Não,3,205.89,617.67
Sim,Almeida,59.608.342/0001-31,10/06/2024,grande,caminhão,205/60.17,Sim,6,181.77,1090.62
Sim,Moreira,98.503.472/0001-61,30/08/2023,medio,carro,195/65.16,Sim,6,167.6,1005.6
Sim,Porto Ltda.,31.502.897/0001-85,25/11/2024,medio,carro,165/65.14,Sim,1,175.81,175.81
Sim,Porto Ltda.,31.502.897/0001-85,23/05/2024,medio,carro,165/65.15,Sim,5,179.14,895.7
Sim,Almeida,59.608.342/0001-31,01/01/2025,grande,caminhão,215/55.16,Sim,2,167.16,334.32
Sim,Porto Ltda.,31.502.897/0001-85,24/02/2024,medio,carro,185/65.13,Sim,5,179.25,896.25
Sim,Moreira,98.503.472/0001-61,24/04/2025,medio,carro,195/75.16,Sim,1,159.14,159.14
Sim,Nascimento,04.163.295/0001-78,28/05/2025,grande,caminhão,205/55.17,Sim,3,174.04,522.12
Não,Sr. Benjamim Sampaio,762.510.394-34,30/12/2024,grande,caminhão,225/65.16,Não,1,206.63,206.63
Não,Juliana Oliveira,062.459.137-99,05/12/2022,medio,carro,165/75.15,Sim,4,163.07,652.28
Sim,Moreira,98.503.472/0001-61,19/01/2024,medio,carro,165/75.13,Não,5,213.59,1067.95
Não,Ana Liz Fogaça,870.265.394-00,18/08/2024,grande,caminhão,225/65.17,Sim,5,163.75,818.75
Sim,Dias e Filhos,32.097.465/0001-07,09/04/2025,grande,caminhão,215/65.17,Não,5,214.12,1070.6
Não,João Miguel da Luz,183.045.726-80,03/02/2025,grande,caminhão,205/70.16,Não,6,218.86,1313.16
Não,Isabelly Almeida,864.719.503-57,13/12/2022,grande,caminhão,205/55.15,Sim,6,172.08,1032.48
Não,Luiz Otávio Sales,467.025.831-17,06/07/2023,medio,carro,195/65.16,Não,1,200.15,200.15
Sim,Costela,97.430.286/0001-87,31/05/2023,medio,carro,195/65.15,Sim,3,175.4,526.2
Sim,Sampaio,85.960.143/0001-06,03/02/2024,medio,carro,165/75.15,Sim,5,174.57,872.85
Não,Théo Sampaio,501.964.732-25,12/06/2023,grande,caminhão,205/70.15,Não,3,207.02,621.06
Não,Marcela Sousa,374.586.192-28,19/09/2023,grande,caminhão,225/45.15,Sim,2,174.82,349.64
Sim,Lopes,71.095.846/0001-09,05/07/2023,medio,carro,195/65.15,Não,1,214.49,214.49
Sim,Porto Ltda.,31.502.897/0001-85,04/12/2023,medio,carro,175/75.15,Não,3,228.91,686.73
Não,João Pedro Campos,016.487.259-02,25/10/2022,grande,caminhão,215/70.15,Sim,4,161.86,647.44
Sim,Costela,97.430.286/0001-87,27/04/2025,grande,caminhão,205/60.16,Não,2,238.79,477.58
Sim,Aparecida,73.916.485/0001-31,07/07/2023,grande,caminhão,215/55.16,Não,5,212.74,1063.7
Não,Pedro Lucas Sampaio,513.207.968-77,18/12/2022,grande,caminhão,215/70.15,Sim,6,181.13,1086.78
Não,Eduarda Vasconcelos,309.415.827-79,19/10/2022,medio,carro,175/75.13,Sim,6,151.22,907.32
Sim,Lopes,71.095.846/0001-09,16/06/2023,medio,carro,195/65.13,Sim,5,185.5,927.5
Sim,Nascimento,04.163.295/0001-78,20/01/2024,medio,carro,175/65.16,Sim,5,157.91,789.55
Sim,Nascimento,04.163.295/0001-78,26/11/2024,medio,carro,195/75.14,Sim,6,172.54,1035.24
Não,Valentim Campos,376.218.095-40,18/11/2024,grande,caminhão,215/60.17,Sim,1,178.1,178.1
Não,Maysa Moura,918.045.673-10,03/09/2023,grande,caminhão,215/45.16,Não,6,219.1,1314.6
Sim,Moreira,98.503.472/0001-61,09/08/2022,grande,caminhão,205/65.16,Não,2,201.55,403.1
Sim,Dias e Filhos,32.097.465/0001-07,16/02/2023,grande,caminhão,205/65.17,Não,6,225.64,1353.84
Sim,Cavalcante,65.098.174/0001-84,30/04/2024,grande,caminhão,225/60.17,Não,5,248.16,1240.8
Não,Nina Vasconcelos,063.149.275-52,23/01/2024,grande,caminhão,225/70.16,Não,5,215.95,1079.75
Não,Otávio Ferreira,794.013.826-03,12/12/2023,grande,caminhão,205/70.15,Sim,6,189.33,1135.98
Não,Stella da Mata,658.120.493-51,21/01/2024,medio,carro,195/75.13,Não,3,238.68,716.04
Sim,Costela,97.430.286/0001-87,24/05/2023,medio,carro,185/75.13,Não,3,249.19,747.57
Não,Sra. Stephany da Paz,715.083.429-97,15/05/2023,medio,carro,195/65.13,Não,6,204.32,1225.92
Não,João Guilherme Dias,587.143.296-46,26/02/2023,medio,carro,175/65.15,Não,1,234.72,234.72
Sim,Nascimento,04.163.295/0001-78,01/10/2024,grande,caminhão,225/60.16,Sim,5,167.86,839.3
Sim,Moreira,98.503.472/0001-61,22/03/2025,medio,carro,185/65.15,Não,4,248.64,994.56
Sim,Costela,97.430.286/0001-87,25/07/2024,medio,carro,165/75.15,Não,5,234.8,1174.0
Não,Ana Clara das Neves,560.318.274-17,21/09/2022,medio,carro,185/65.14,Não,6,204.92,1229.52
Não,Ana Sophia Fonseca,825.196.073-86,08/05/2025,medio,carro,165/75.13,Não,1,232.2,232.2
Sim,Almeida,59.608.342/0001-31,08/06/2023,grande,caminhão,205/45.15,Não,3,220.15,660.45
Sim,Cavalcante,65.098.174/0001-84,26/03/2025,grande,caminhão,215/70.17,Não,2,221.33,442.66
Não,Marcos Vinicius da Mata,967.214.058-49,05/03/2024,grande,caminhão,215/45.17,Não,4,214.57,858.28
Sim,Almeida,59.608.342/0001-31,22/02/2025,grande,caminhão,225/65.16,Sim,4,171.24,684.96
Não,Ana Luiza Dias,018.743.952-41,22/09/2023,grande,caminhão,225/45.16,Não,1,249.75,249.75
Não,Sra. Maria Alice Pacheco,408.591.632-70,17/06/2023,medio,carro,165/65.13,Não,2,210.12,420.24
Sim,Dias e Filhos,32.097.465/0001-07,25/04/2024,medio,carro,175/75.13,Não,3,243.53,730.59
Sim,Moreira,98.503.472/0001-61,31/03/2023,grande,caminhão,205/45.15,Sim,6,151.39,908.34
Não,Dr. Marcos Vinicius Cardoso,106.289.745-58,08/10/2024,medio,carro,165/75.13,Sim,3,152.87,458.61
Não,Luiz Otávio Sá,254.138.976-00,02/02/2025,medio,carro,165/65.15,Não,4,230.63,922.52
Sim,Sampaio,85.960.143/0001-06,13/01/2024,grande,caminhão,205/55.17,Sim,3,153.0,459.0
Sim,Cavalcante,65.098.174/0001-84,07/08/2022,grande,caminhão,225/65.15,Não,3,218.59,655.77
Não,Davi Lucas Costela,502.638.174-07,10/02/2023,medio,carro,195/65.16,Não,4,238.11,952.44
Não,Daniel Gonçalves,721.659.038-40,28/06/2024,medio,carro,195/75.15,Não,4,239.41,957.64
Sim,Lopes,71.095.846/0001-09,09/02/2023,medio,carro,195/65.14,Sim,2,169.14,338.28
Sim,Almeida,59.608.342/0001-31,13/01/2023,grande,caminhão,215/65.16,Sim,4,184.84,739.36
Não,Maria Helena Leão,201.359.748-79,17/07/2023,grande,caminhão,225/45.16,Sim,6,172.93,1037.58
Sim,Porto Ltda.,31.502.897/0001-85,12/04/2024,medio,carro,165/65.14,Sim,6,166.87,1001.22
Não,Dra. Yasmin Duarte,094.763.281-69,02/07/2024,medio,carro,195/75.14,Não,5,247.01,1235.05
